Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Position Summary
As a Developer, you will be working in an application design and development role on the Core as a Service platform. You will be creating new software and enhancing existing software to provide banking and financial institution services.

Essential Duties and Responsibilities
The type of activities expected to be performed at this level include, but are not limited to:
Work with business analysts, engineers, and other system users to understand and implement their application requirements
Work with partners to understand their implementations and gain a breadth of knowledge in cloud-based SaaS implementations and technologies",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e9f21e71&cb=1668228742919&jobListingId=1008108100725&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-c6bdf98629719750--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm2h8_69_6PtCvsYYdcOW9A6k7jkM1gsZGsG4F124PIQSN3qOOcMLzM_vdOrR2ZZZ97xojDmyRIhDLtrhULGUYuPl_tmX33kJNwsIzBpMKQqWeYXNlTiZVeC4Cf9lBVfXkJiECWHXoEW_cMRDjlzdSdnVLW2AJOPBr5OZq1WRgKlrX9NsdwrtIYERXToP8S_V25FYj5zmHvyCji7Ay8DJIidOk3rMu1Df8lICog07Hr5kyO4savHIFn0i16Jcz5ab8CTRnl0DEruchrusUhhIQdgm6GGhSTs2oVrWMgndk53ESNi-MEvlbmzCG1SMPEfPhyNjIZwQ1JYdd5AFdm-n_TQ-Ud-4MAm8aGF9ihRdzVkji3Cd7czYnUn8ZjoPBuxiiGV-wJKcSI6MlbmDsmartPBsnBhYG9V1JIzSGp2ElZmYanehQXh37q-3f2n8plPSjW1_kMOZ_JQn2jnQjF2H0OhHCGe445Ibul9MW3awpmsOxAhWUI14Bz6w5CNQhtd2VEzZ78a3CmMxBNl9T92H6Yb
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Find your future at Fiserv!
As an experienced member of our Data Engineering Platform Group you will be responsible for building and taking ownership over the successful design and development of data engineering projects within Fiserv’s Enterprise Data Analytics division. You will be required to apply your depth of knowledge and expertise to all aspects of the data engineering lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally. Our environment consists of modern APIs, micro-services, third-party integrations, and cloud infrastructure. You will interact with clients of leading financial institutions, product managers, and software engineers to envision, design, and build innovative produce and technology solutions supporting large scale solutions. You will lead and influence agile teams of engineers developing talent, ensuring high quality and innovation are in place to help our clients' businesses.",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7f8a1c9c&cb=1668228745590&jobListingId=1008266169036&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-6b715796227f9ded--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBN1UN9lpBwvOkVUhhh_Z7xXWjhVP8Zv7j-2TENXy3eIoJ87Mx4cPdu-3o9ksvP_TqolI3ExdFYCtBCNK08TO_A-eZlPCIlAi4RQ5s7F-MKO2qoI5QWoml9V9lDZwG7LN5at_30jVNx1o9x1NpmBg9-L_OjuBeoBpbaYUeeAOdjh97MAnUT81PzfXMNhp5btdHoZjF9_tB5Q6CSwZWbWCKPLLvy1N4Puv5GVI0ZHHW2Wx15gzHYvq1gV1Q_RTUDyuKTAkUAVS0SL9C72tUmEZykFOL5LgZzsYr7tV5nEWKw8A6-vqpS45xDLoP8H5acs8cr9dZMwotL3RamHDzrCnc-tOJhq3MrxBcVZ5CnTVKSSsn-8NrYvj7Cj-YBgr4JwkBqB991q1g6212Bx6AGAaj6k2SLxJDZxrM1yCU0knbqbl0aIZeVfKYSWSUDqgqh25AyosD73LXv9NShiI_BF6cIEsU3eCD9ijZ3MTqZGHCDcENlctalItFpySRx_QkyhT5MCbBEjir8QwE9ZsRlm-qHliaqhVAcTEeWvuZjBTRPgV
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Position Summary
Finxact, a Fiserv Company is looking for an innovative and passionate Software Engineer to join our growing team. As a Software Engineer, you will be a key contributor within the Development team working to build and maintain framework components across our suite of applications and services. You will coordinate with the rest of the team working on different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.

Essential Duties and Responsibilities
The type of activities expected to be performed at this level include, but are not limited to:
Your primary focus will be on developing Go application framework components that are scalable and maintainable across our enterprise",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_45ec232b&cb=1668228748280&jobListingId=1008082961366&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-5ea9d15b791d859a--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm2XNisfl4f00mLOK5uxx7lCLlNUo5vaXwdyFBo8NrxQXfTnTSByafw0Cbt263VnpEvf8tvPNdKvi4XRSs_h3cwwvLlrSfJv1hty8H44wnQ1-nXOl3-Q74nwloYhssBCG3E5xTOZMpJTYl2NhWd2oHb276Eepk6Qa_qydKKpecz31NNL0AVz2tjBDs1LqRUnhAMKQ5O_nFz7LIHGcg4QHu5FptHdAhRAk6fPI87i-ri8WTaWsgu7V7lGRaq7Zy6FrVUnIkVXNwh-nO5NFMAE1Js-s7ehYLq8Dlq0AB9WCskDceftMbZkbJ3dSP07JBPF-BAvjxkQqfTYFNG3H2r48E3puF32idOnksIwlwF7gV6wrP53UhRIqDNda9psAnS0amC8F59S8ILxWdVyLxMI1wzZunpWdWWVgWcAwhq_EIDDB_fbE2tTdl4JbzxYWG0Gk2wTADuitGS3-cAYmyIDkzB8H454Q-QZa58XKoNoK0EJY9gecEpT10Fa84UHqNyrRlkOdx7_Ry1M57EW3rLi9mUx
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Position Summary
Finxact, a Fiserv Company is looking for an innovative and passionate Software Engineer to join our growing team. As a Software Engineer, you will be a key contributor within the Development team working to build and maintain framework components across our suite of applications and services. You will coordinate with the rest of the team working on different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.

Essential Duties and Responsibilities
The type of activities expected to be performed at this level include, but are not limited to:
Your primary focus will be on developing Go application framework components that are scalable and maintainable across our enterprise",18d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6cfd8634&cb=1668228751118&jobListingId=1008231225288&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-e34d1b5f695350ba--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm3-nLIO5Je1xxTaYG0uScIHVzVQ12G1FT4db3jhZjxrFUDgVDbJ-sZ4P5tAsjoq68Uo-kUN9QwZ206hMojMNPZGxlyYV1vf-8sCUYsXpMvM0mnVqRS1VDnr6-eNlr435xdqXqkvAXfjlwDJD03fOTE-eSgXaYS6Vu8rQJefmCvyGcvEED6CpIMAK2NywVwwunksU-Kv_jGC3SA8TWW74o2lCxv15OnAg88jtoeJde8GONTKx82RU8sAZZUY-2kIelaIa2dG8_LHFgy3OOJH6ZrgBNN0NV-c0IGUdXg3qvkvzYU74OYmCEkzHYo93ktedEsrKcvS25TzfNUgYrCzx9l6kqf5Nchg_w4kwGZa9-_Mmw16vICStS7Ti_0mem1M6N_orfxC9r6he6AOs5L0kjI2JNKi6h0sf7dwnwdWSaTkwZBVMVwlsNGYvKpbH0K-yNIsz5JjSEaM-JBb3Heb8iG-z14m0XC-eJjgTGe1m1wMFB7zVb7eM_lFybgpR5U2jk2-zjmFRyXoOQ3044LcHS5R
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Issuing Fraud Tech Lead Position

Fiserv Issuing is deploying and scaling a new fraud detection system. This platform performs mission critical real time decisioning while processing extremely high volumes in a resilient way. This position provides an excellent opportunity for a motivated leader with excellent comprehension and communication skills to provide architectural direction on upcoming scaling activities and functional improvements as volumes continue to increase. Consistent communication and coordination with your product, development and vendor partners is required as current architectural priorities are balanced with client conversions and discretionary work. The ability to develop, depict, craft and communicate audience-specific creative solutions for complex problems is mandatory.

A Lead Software Development Engineer directs the team in designs, development, tests, installation, and maintenance of systems, applications and understands networks, and/or telecom and related processes to meet the functional objectives of the business. Assesses system, application, network, and/or telecom needs, provides modeling and simulation consulting to clarify client technology functionality, and evaluates and implement new advanced technologies. Ensures adherence to established technology standards and consults with senior leadership on technology solutions. Supports existing systems and is responsible for leading technical aspects of a project. Responsible for assigning resources and delegating tasks to meet project deliverables.

Java, Angular, Python/Shell Scripting, Test Automation, Linux, Visio, PPT, Jira, MS Project",4d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1553787b&cb=1668228755088&jobListingId=1008263146663&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-3d08c0dc15589b30--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm3-8o0vjk3uNnxwPoNEx7i0w8qpvWcdAcJE-6VVKEobsQ0nNmTvSxDf5MMo0EeABf5xgY_SewPJNuuobVcjGkKAldq4hViM6DybMD8DSjB53kCMU-86PPCT3v4j1MRM56tn0vgIhipdAxewlnzrXXxVA01vCOrJ59v9M_J-eU5Q8_ExmlnJFQNy31A0mcJneu8k6mUiyugp7gfvbna4bEKPo7GHrVWlz-3vc8qGQVKMGgAhMelt1ZXxPIk30ody3OZEB6H9UGrrhnjG7tCSGFIjHqGNSUXk1ivEaGd_7we6NnP2BvzW0QQlpGfXNnLAHxmfW6tR9LwsQObFaT1RA9-ArAQs_zByk0Qo5GrL2y4CCCGD6yoqpjRX3cCgj3SAb0MPBzsQd5D_arvqU4WMF99F5YaRRo2x9AW6heZNVjtMgkMa0C20Au0-mcRJmJmBWYo_k_mAPceRpfGwEbozDnF2rxTOLxLK6szFlBNPaIRkC89Iu5e2-Ko1S_p9HLJyVitHLjT_B4FAT7Ljzs-C6qmt
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"(Remote Position)
$100,000-$201,000
Grab a Seat at the Table
BentoBox and Clover are working together to shape the future of modern hospitality. Join the team building award-winning technology for the restaurants you know and love.
About BentoBox & Our Mission
The BentoBox Marketing and Commerce Platform delivers a seamless guest experience dedicated to accelerating growth and helping restaurants thrive. BentoBox empowers modern restaurants to build their online presence, diversify revenue, engage with diners, and increase operational efficiency. To do so, the platform includes products such as websites, ordering (online ordering, pre-order & catering, gift cards, merchandise, tickets), events management, and marketing tools.

Over 14,000 restaurants worldwide rely on BentoBox as their digital front door. BentoBox is trusted and loved by hospitality groups such as José Andrés’s ThinkFoodGroup and Danny Meyer’s Union Square Hospitality Group and independent restaurants including Emmy Squared, Suerte, and The Meatball Shop. In November 2021, Fiserv, a leading global provider of payments and financial services technology that enables 200,000 restaurants to deliver differentiating experiences, acquired BentoBox. The acquisition will allow BentoBox to support more restaurants than ever before.",17d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3654f305&cb=1668228757953&jobListingId=1008233811281&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-75624021f314763f--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm2i4OeQUmvUtlgn6ItD4iYHBz2P6BqYU2qY5UB7qNBg2E9XLyFkA5MwPaTJ69rJn2m-W3DhS9EmpaRVzoAGZyutICEairwmGsQdKPOuvJ-8iJItNzByL1kqbETGe4Z_phLNs9CPonXaGCLN8VfNCk1GKPcEi7mI5K-9Gr8CH4VxN7qVEqJLvvfTP14h3pSB3Uca20te5iF8Z2UubaPQTu1PpZVsWgsrrXND548NbZmmnL2IEMX-0jhq7zhQUCb8JGq3Hv4d9-cPgQHbUpNIybCzIx7Iis94FqaL3XrbeDyX-sBYNJ3vbZL7lTuRdaZhQ7q5LeYYLjUn0iqsluBhV76s2VmzH2uOeQWWImPx4fjeqPyyw2jBuk_jKCAPPqvNkD-86SeW-YA0hRNXLVFtHwvVJOslXnhTXrQk2SySnfqu0VydZ6OUzFHK5-YHv8ig4CNaveizU_r2mONGxhKEi1JD7RzAMpNXMRA76gP4LhClWPAsxJV1ShOR3oAfwN3LLt5uTjHYmRZ6fOUVfjr0SdVH
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Salary Range
$106,000 - $167,600
These pay ranges apply to employees in New York and California. Pay ranges for employees in other states may differ.
Position Summary
Finxact, a Fiserv Company is looking for an innovative and passionate Senior Software Engineer to join our growing team. As a Senior Software Engineer, you will be a key contributor within the Development team working to build and maintain framework components across our suite of applications and services. You will coordinate with the rest of the team working on different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential.


The type of activities expected to be performed at this level include, but are not limited to:",24d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_089183af&cb=1668228760036&jobListingId=1008215795401&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-3db8206b414a518e--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm08vqyrirRd3S81gYZXn9zG172xWbPUrucCTdPwQDghOk0OpHga7K72iG-NmRSvxmKlbZH1tIOtXewiXojm0TPWGkTFj2PPq5MU5WzOpzFFreTVX6rjZCOt2mJqdB87RhuAgicmt7RwaeseQCjKST8NVUEl64vewqlWOxIuDRtyCqibkcEsVFB4moETFtWeGImpz_TsjzOP1gCDAk0U5K1wO0MfgsVkggFNUYGEU2oue3IbhN2dkb5LiXR88ZNAuCw49IYNxqe0RDIxDL0XrWIqjGNaPSibqQOYK7f8tQob0zktjxrE7e-tvfZXUT0iug7CcPvAmQf4gjc9hHNd7PMWdmjcET11JcGMB-5mOXUon_cfAd9XA2QZbBCiZspdrsoAFGp8-zUras5W_v-iz0BH-zQ8Xoi3K1Z92R3WG9PKAfOaqtz18vzBQjlMhz1DdEySQMNP2BLsbEpnHFbaGzuB72J6IgjG32gQlxIdAvJGQw5QvAcMtMG6CyNGB7fxaQOqobq5BY-hVKdQU7F43zZF
"['Fiserv', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"(Remote Position)
$100,000-$201,000
Grab a Seat at the Table
BentoBox and Clover are working together to shape the future of modern hospitality. Join the team building award-winning technology for the restaurants you know and love.
About BentoBox & Our Mission
The BentoBox Marketing and Commerce Platform delivers a seamless guest experience dedicated to accelerating growth and helping restaurants thrive. BentoBox empowers modern restaurants to build their online presence, diversify revenue, engage with diners, and increase operational efficiency. To do so, the platform includes products such as websites, ordering (online ordering, pre-order & catering, gift cards, merchandise, tickets), events management, and marketing tools.
Over 14,000 restaurants worldwide rely on BentoBox as their digital front door. BentoBox is trusted and loved by hospitality groups such as José Andrés’s ThinkFoodGroup and Danny Meyer’s Union Square Hospitality Group and independent restaurants including Emmy Squared, Suerte, and The Meatball Shop. In November 2021, Fiserv, a leading global provider of payments and financial services technology that enables 200,000 restaurants to deliver differentiating experiences, acquired BentoBox. The acquisition will allow BentoBox to support more restaurants than ever before.",17d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_718dd524&cb=1668228764010&jobListingId=1008233811280&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-9dbf84738acaf9ad--6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBO2LkzvsEykBeJ78C_jXPm2i4OeQUmvUtr_zBc58Y08hgQ8DuF2OBUqJivtJsbV5fYAU6VbaBBLkNZ3DEzQ7MElCZYmDUanDIZJjSGzQT78DE7dEt1MejOIDMa1BKkC9O54ryeDXV7sBLzIjhs91BD7RW60qvLrnUe2IibZYG_hKiyZYOqpfzv0ZvXmJ2iT32M9c802Ky0bQXTRJXSvHgGQaglBbn85Hz7ADOVHg8ErY1E-Z5Uu89gqHht0wMfljna9M_LEB2QKaYI3IHxWmP5S7fQUhUGw4Xs94r3USENi2jifb1uT2Os3xXEhdnxCK4zQ3QtyQhgxHFZx3wTwWCWaDBolUDBmEJEquNsHasOBJSlDDPZcEFV7fEZpqn1AAa7R9lWkhZcQ3t3B-1UmwHsfiOmbAfMlo7AYzb6hio2frLoo2nngad0tiPwQrWWVb_QAMwTZZdr6-HQ_uQh52YrO7dkvINva_kBlOWgQ7FM6g45MCTpzHvOq3YMS7jEHt7yPAQzWsPI2cLr5HUYlNF95NmC0Tw0pAKwcR8fj0dhxh
"['Fiserv, Inc.', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"Essential Job Responsibilities:
Understand existing Informatica platform architecture and support product and solutions.
Follow the established process of identification, scoping, delivering and documenting infrastructure needs, to onboard new integration projects. Also, solving issues and escalation.
Ability to work on code development, code deployment and follow SDLC process for the same.
Perform analysis of business requirements and the impact to infrastructure
Create and maintain written code and procedures for various Data Warehouse functions
Communicate (orally and in writing) with co-workers and outside Data Warehouse areas.
The above statements are intended only to describe the general nature of the job and should not be construed as an all-inclusive list of position responsibilities.

Required Qualifications:

Desired work Experience:",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_10f7299f&cb=1668228772147&jobListingId=1008265283371&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-bb442b96afb5dcd1-
"['Fiserv, Inc.', '3.2']",https://www.fiserv.com/,Finxact - Software Developer,"Tallahassee, FL",$83K - $126K (Glassdoor est.),"A Software Development Engineer designs, develops, tests, installs, and maintains systems, applications,
networks and/or telecom and related processes to meet the functional objectives of the business As‐
Additional Job Description
networks, and/or telecom and related processes to meet the functional objectives of the business. Assesses system, application, network, and/or telecom needs, provides modeling and simulation consulting to clarify client technology functionality, and evaluates and implement new advanced technologies. Ensures adherence to established technology standards and consults with senior leadership on technology solutions. Supports existing systems and is responsible for leading technical aspects of a project.. As a Lead Developer, you’ll collaborate with internal teams to develop fraud rule models, analyze data attributes while working in a fast-paced environment.

Basic Qualifications for Consideration:
puts and message interfaces.
other team members.
Linux, Spring.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a2e3caca7e9bbfea433dbcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_26a2a548&cb=1668228774801&jobListingId=1007999966517&jrtk=3-0-1ghl2sf6l2apf001-1ghl2sf77ghqu800-40d7eca1cfb294f5-
