Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Jonas Software', '3.6']",http://www.jonassoftware.com/,Senior Software Developer,"Bedford, MA",$89K - $128K (Glassdoor est.),"Job Description:
If you are interested in working for a fun, small development shop that sells software to the healthcare industry, then we are right for you. If you want the feel of a small company but with the funding security of a large corporation, then we might be what you are looking for.
Computrition, Inc was founded in 1981 and has primarily been selling enterprise software solutions to the Food and Nutrition departments of Acute Care Hospitals. Our software is also used by the US Marine Corp, most Veteran’s Hospitals, as well as other parts of the DoD.
Working on the R & D team at Computrition is fun, fast paced, and always interesting.
We are a small development team which uses an Agile methodology. We are introducing new applications using new technologies, while maintaining a flagship application that is installed in over 1,000 hospitals in North America. With this in mind, we are looking for a Technical Lead
to join a new local development team within our Research and Development group.
Our ideal candidate would be someone who can immediately impact the team by owning application solutions. This includes:
Computrition
40
1
Regular",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a4afa34b6ecec59d2c41230&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_913bfcba&cb=1668230615311&jobListingId=1008263212165&jrtk=3-0-1ghl4luj6is31801-1ghl4lujsj4hp800-0d6726105178222e-
"['Capital One', '4.2']",http://www.capitalonecareers.com/,Senior Software Developer,"Bedford, MA",$89K - $128K (Glassdoor est.),"1750 Tysons (12023), United States of America, McLean, Virginia
Sr. Manager, Product Management, Model Servicing
Capital One is a high-tech company, a scientific laboratory, and a nationally recognized brand all in one reaching tens of millions of consumers. We are a passionate and entrepreneurial team that embraces bold ideas, fosters collaboration and delivers great experiences for our customers. Machine learning is at the heart of our approach. Our teams provide millions of customers with individualized, real-time experiences, protection, and decisions driven by machine learning and advanced analytic capabilities. In order to further scale our efforts in this space, we are building a world class machine learning platform. This platform will enable our data scientists and machine learning engineers to take models from conception to production faster and safer than ever before. This work is core to Capital One’s mission, changing banking for good.




Location is New York City
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a4afa34b6ecec59d2c41230&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9adc6e71&cb=1668230618133&jobListingId=1008131025928&jrtk=3-0-1ghl4luj6is31801-1ghl4lujsj4hp800-b367b4f68547ed38-
"['Jonas Software', '3.6']",http://www.jonassoftware.com/,Senior Software Developer,"Bedford, MA",$89K - $128K (Glassdoor est.),"Job Description:
If you are interested in working for a fun, small development shop that sells software to the healthcare industry, then we are right for you. If you want the feel of a small company but with the funding security of a large corporation, then we might be what you are looking for.
Computrition, Inc was founded in 1981 and has primarily been selling enterprise software solutions to the Food and Nutrition departments of Acute Care Hospitals. Our software is also used by the US Marine Corp, most Veteran’s Hospitals, as well as other parts of the DoD.
Working on the R & D team at Computrition is fun, fast paced, and always interesting.
We are a small development team which uses an Agile methodology. We are introducing new applications using new technologies, while maintaining a flagship application that is installed in over 1,000 hospitals in North America. With this in mind, we are looking for a Technical Lead
to join a new local development team within our Research and Development group.
Our ideal candidate would be someone who can immediately impact the team by owning application solutions. This includes:
Computrition
40
1
Regular",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a4b3b1f8f02c56ef6f5d6fc&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dce0ecd7&cb=1668230631596&jobListingId=1008263212165&jrtk=3-0-1ghl4meqkkluj801-1ghl4mer6j46m800-0d6726105178222e-
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Principal Associate, User Experience Designer","Plano, TX",,"Locations: TX - Plano, United States of America, Plano, Texas
Principal Associate, User Experience Designer
Are you an Principal Associate Experience Designer looking for a new challenge? Are you looking for an opportunity to grow in visual design, interaction design, customer research and influence product strategy? Do you want to transform an industry centered around how people find and finance cars? Then Capital One may just be the right place for you.
At Capital One, we think big and do big things. Today we are a high-tech company, an innovation laboratory, and a nationally recognized brand that reaches tens of millions of consumers. We are a passionate and entrepreneurial team that embraces bold ideas, fosters collaboration, and delivers great consumer experiences. It’s audacious work at a massive scale. As a team, we come to work every day looking to build digital experiences that are authentic and bold.



No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a4b5b6a9f11afedaf8e7425&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c419b3e&cb=1668230649288&jobListingId=1008063633853&jrtk=3-0-1ghl4mmud2i7a001-1ghl4mmv0g4f7800-f1e8c345610c500f-
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Principal Associate, User Experience Designer","Plano, TX",,"West Creek 5 (12075), United States of America, Richmond, Virginia
Manager, Product Manager- Enterprise Payments
Capital One offers industry-leading credit cards, checking accounts, savings accounts, auto loans, and other financial products that are central to the way that more than 65 million people live every day. Making payments is integral to managing their money.

Capital One’s Enterprise Payments team is defining the roadmap that will enable the bank’s overall digital payments strategy, modernizing existing payment types and introducing the latest innovations. In an industry rooted in mainframe systems and batch processes, we are driving toward a cloud-based, API/microservice architected, real-time data environment. The world is moving toward faster payments and Capital One is not just ahead of the curve, but defining it. We are a tech-centric company and an innovation laboratory within the only founder-led, top 10 bank in the U.S.






No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a4b5b6a9f11afedaf8e7425&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fd772ec0&cb=1668230651081&jobListingId=1008268878964&jrtk=3-0-1ghl4mmud2i7a001-1ghl4mmv0g4f7800-4d39bbe68db0d9b6-
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Principal Associate, User Experience Designer","Plano, TX",,"Locations: TX - Plano, United States of America, Plano, Texas
Senior Associate Experience Designer
Are you an Senior Associate Experience Designer looking for a new challenge? Are you looking for an opportunity to grow in visual design, interaction design, customer research and influence product strategy? Do you want to transform an industry centered around how people find and finance cars? Then Capital One may just be the right place for you.
At Capital One, we think big and do big things. Today we are a high-tech company, an innovation laboratory, and a nationally recognized brand that reaches tens of millions of consumers. We are a passionate and entrepreneurial team that embraces bold ideas, fosters collaboration, and delivers great consumer experiences. It’s audacious work at a massive scale. As a team, we come to work every day looking to build digital experiences that are authentic and bold.




No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a4b5b6a9f11afedaf8e7425&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f58d7ecb&cb=1668230653847&jobListingId=1008158671564&jrtk=3-0-1ghl4mmud2i7a001-1ghl4mmv0g4f7800-d8af9353ef7e6556-
,,"Principal Associate, User Experience Designer","Plano, TX",,,30d+,
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Principal Associate, User Experience Designer","Plano, TX",$56K - $85K (Glassdoor est.),"Locations: TX - Plano, United States of America, Plano, Texas
Principal Associate, User Experience Designer
Are you an Principal Associate Experience Designer looking for a new challenge? Are you looking for an opportunity to grow in visual design, interaction design, customer research and influence product strategy? Do you want to transform an industry centered around how people find and finance cars? Then Capital One may just be the right place for you.
At Capital One, we think big and do big things. Today we are a high-tech company, an innovation laboratory, and a nationally recognized brand that reaches tens of millions of consumers. We are a passionate and entrepreneurial team that embraces bold ideas, fosters collaboration, and delivers great consumer experiences. It’s audacious work at a massive scale. As a team, we come to work every day looking to build digital experiences that are authentic and bold.



No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a4bce83bf3b0cc0814fc905&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ea68c373&cb=1668230678712&jobListingId=1008063633853&jrtk=3-0-1ghl4njllkuha801-1ghl4njmdi6hj800-f1e8c345610c500f-
"['Precision Castparts Corp.', '3.1']",http://www.precast.com/,"Principal Associate, User Experience Designer","Plano, TX",$56K - $85K (Glassdoor est.),"United States of America
State / County
Remote
City
Remote
Division
SMC
Company
SMC Division
Function
Quality
Workplace Type
Remote
Position type",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a4bce83bf3b0cc0814fc905&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a4f50a4d&cb=1668230680654&jobListingId=1008197304363&jrtk=3-0-1ghl4njllkuha801-1ghl4njmdi6hj800-fb0ad445140fb6cb-
"['Precision Castparts Corp.', '3.1']",http://www.precast.com/,"Principal Associate, User Experience Designer","Plano, TX",$56K - $85K (Glassdoor est.),"United States of America
State / County
Remote
City
Remote
Division
SMC
Company
SMC Division
Function
Quality
Workplace Type
Remote
Position type",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a4bce83bf3b0cc0814fc905&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8d787d81&cb=1668230682637&jobListingId=1008197304356&jrtk=3-0-1ghl4njllkuha801-1ghl4njmdi6hj800-4b2ad17b4090e088-
