Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Video Encoding and Streaming
You may have seen the news that Netflix is getting into gaming; this is your chance to be a key part of it! We are a growing team building a cloud platform that aims to bring Netflix games to our subscribers on a variety of devices beyond mobile phones.

We are looking for an engineer specializing in identifying and building developer workflows and tooling who will serve as a key contributor to creating the suite of tools that make fast iteration and development of games for our platform a delight.
Responsibilities:",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ddc9a4f&cb=1668224841830&jobListingId=1008230857412&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-b09efc2992117b77-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Core Engineering
At Netflix, we want to entertain the world and are constantly innovating on how entertainment is imagined, created, and delivered to a global audience. We currently stream content in more than 30 languages in 190 countries, topping over 220 million paid subscribers, and are expanding into new forms of entertainment such as gaming. Engineering teams within Netflix work hard every day to scale and innovate this content production and member experience in an ever-growing complex software landscape.

We are looking for distributed systems engineers to work on many of our core backend systems that directly impact our API platform, messaging, personalization, sign-up, partnership, payments, and billing systems.",16d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_52837aac&cb=1668224845542&jobListingId=1008236221954&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-fc514e03d201a2ad-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Remote, United States
Security
As a global company, Netflix’s customers come from diverse backgrounds. And each of these backgrounds allow them to experience joy from Netflix in their own unique way. Ultimately, this joy is rooted in our customers’ ability to trust Netflix. At Netflix, we earn this trust through our actions every day. And we work hard to continue to build this trust with our customers throughout the world.

The Customer Trust team at Netflix is a central security team that sets a broad strategic vision in the trust space. We execute on that vision through both technical work on the team and cross-functional partnerships, addressing problems related to account takeover, service abuse, customer targeted scams, DDoS and more. We are looking for a software engineer to build and operate production quality systems at Netflix scale for detection and prevention across the fraud landscape.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2869f7c2&cb=1668224847436&jobListingId=1008020712459&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-cc28357ec038b710-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Los Gatos, California
Client and UI Engineering
Who We Are
Netflix has been transforming the way people find joy in movies and series for over 25 years with more than 220 million subscribers across the globe.

The Member Web UI team is responsible for building the best possible experience across different browsers and devices for our members on netflix.com. With native browser streaming, we value creating a highly optimized application that can run on various networks while using React and Node.js to create an immersive user interface.

We work with cross-functional partners ranging from product managers, designers, and data scientists to build exciting new features with A/B tests. The versatility of the web platform enables us to test features and gain valuable product insight. We are seeking an engineer in testing to help support the developer experience by creating an environment that strengthens our team’s testing skill set.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7669d602&cb=1668224851282&jobListingId=1008156451855&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-927012fd68d173cb-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Client and UI Engineering
The TVUI Explore team delivers novel product features on Netflix’s flagship TV application to help members discover and connect with stories they'll love. Your work will delight millions of customers worldwide on hundreds of different TV devices, from game consoles to smart TVs to cable boxes.
What’s Different About Us
We validate our judgment by A/B testing product variants with real customers, instead of assuming we know what is best.",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_210b0a44&cb=1668224855164&jobListingId=1008272434018&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-e0351c0af7026d88-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Client and UI Engineering
Netflix has been transforming the way people find joy in movies and series for over 25 years with more than 220 million subscribers across the globe.

The Member Web UI team is responsible for building the best possible experience across different browsers and devices for our members on Netflix.com. With native browser streaming, we value creating a highly optimized application that can run on various networks while using React and Node.js to create an immersive user interface.

We work with cross-functional partners ranging from product managers, designers, and data scientists to build exciting new features with A/B tests. The versatility of the web platform enables us to test features and gain valuable product insight.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7f729cac&cb=1668224859021&jobListingId=1008158810064&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-3ce23ae6f3e83f82-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Core Engineering
Every time you watch a show or play a game on Netflix, the Platform Security team is quietly keeping you secure with foundational security services.

Netflix’s streaming service, our games, and our studio are backed up by an outstanding engineering organization and a unique security culture. By developing secure-by-default infrastructure and guiding engineers toward the most effective security practices, we favor rapid innovation over strict controls.

The Platform Security team is looking for a software engineer to work on tools that support cryptography, key management, workload identity, public key infrastructure, and more. You will join a strong, cohesive team where you'll have the freedom to set technical directions and do your best work. We learn from each other and from our own mistakes. We innovate, and we pay attention to the details. We question the status quo, and we seek out new skills.",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0380ffe9&cb=1668224862943&jobListingId=1008266205232&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-80330d9219f18265-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Los Gatos, California
Client and UI Engineering
Netflix is the world's leading streaming entertainment service with over 200 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments. Our team sits at the intersection of this accelerating global growth, compounded with an ever-increasing mobile usage for content consumption. We love every minute of the complex engineering and product challenges that come with operating at this scale.

Our Mobile Productivity (MoPro) team is focused on helping engineers around the world create Netflix mobile applications quickly and with the highest levels of quality. We do this with tools and infrastructure that optimizes the developer experience. We tie it all together with sophisticated automated testing and productivity solutions designed to support our culture of experimentation, autonomy and ownership.",9d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_34823d0f&cb=1668224864904&jobListingId=1008253301847&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-a29a8bd331986e58-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Client and UI Engineering
Netflix is the world's leading streaming entertainment service with 220M+ paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. The TVUI team builds the industry-leading Netflix TV app. We work with our design and product partners to rapidly experiment with new product ideas. We scale the app to work beautifully across hundreds of different devices, from powerful game consoles, to streaming sticks, and everything in between.

We’re looking for a Software Engineer to drive innovations in the frameworks, integrations and automation space that will enable the engineering teams to build, test, and operate the Netflix app that runs on TV devices. This role has a high impact on the productivity and performance of the engineering teams. You will excel if you are curious, contribute broadly, and can drive scalable technical solutions that mesh with our business goals. We have a unique culture that allows you to do your best work and grow.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9c216579&cb=1668224868669&jobListingId=1008165925711&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-2e66b5b155490450-
"['Netflix', '4.3']",http://www.netflix.com/,Software Engineer (L6) - Game Platform Developer Tools,Remote,$108K - $174K (Glassdoor est.),"Remote, United States
Boss Fight Entertainment
The Sr. Unity Gameplay Engineer is responsible for the management, design, and implementation of game systems. You will provide technical mentorship and guidance for junior engineers.
Essential Functions/Responsibilities
Work on key gameplay and engine features independently or in a supervisory capacity over a small, cross-disciplinary team
Collaborate with Principal/Director level engineers to define technical specifications for large systems",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018469f2de79b6632b4aa7141d67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1db25217&cb=1668224871642&jobListingId=1008092458298&jrtk=3-0-1ghkv5nlembh3801-1ghkv5nm4h7j0800-cf2c49ba9f4f70ea-
