Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Publix', '3.8']",https://corporate.publix.com/,Security Architect – Enterprise Architecture Team,"Lakeland, FL",$123K - $184K (Employer est.),"The position will provide security best practices and guidance for Publix Super Markets, Inc. The job responsibilities for this position are:
define the security architecture for application technologies, including:
micro-service security, API security, web application security, web services security,
non-web application security,
middleware security,
database security, data protection,
public cloud infrastructure and,
enterprise identity and access management
develop principles, best practices, standards, and guidelines for security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0d3360828d492edc500e51&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1fc8d5f9&cb=1668276900828&jobListingId=1008134137707&jrtk=3-0-1ghmgqcumma5o801-1ghmgqcvdgsro800-5f50eb1a3a0726c5-
"['Publix', '3.8']",https://corporate.publix.com/,Security Architect – Enterprise Architecture Team,"Lakeland, FL",$123K - $184K (Employer est.),"The position will provide security best practices and guidance on Network Security for Publix Super Markets, Inc. The job responsibilities for this position are:
define network security strategies and architecture including
segmentation / zero trust
firewalls
IDS/IPS
web content filtering
advanced threat protection
policy management
develop principles, best practices, standards, and guidelines for network security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846d0d3360828d492edc500e51&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d4fc8915&cb=1668276902685&jobListingId=1008081738317&jrtk=3-0-1ghmgqcumma5o801-1ghmgqcvdgsro800-61d39d123d95ac87-
"['Publix', '3.8']",https://corporate.publix.com/,Security Architect – Enterprise Architecture Team,"Lakeland, FL",$123K - $184K (Employer est.),"The position will provide security best practices and guidance for Publix Super Markets, Inc. The job responsibilities for this position are:
define the security architecture for application technologies, including:
micro-service security, API security, web application security, web services security,
non-web application security,
middleware security,
database security, data protection,
public cloud infrastructure and,
enterprise identity and access management
develop principles, best practices, standards, and guidelines for security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0d6267a444403aa531168d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4e60de63&cb=1668276915238&jobListingId=1008134137707&jrtk=3-0-1ghmgqokmih74801-1ghmgqolagrgj800-5f50eb1a3a0726c5-
"['Publix', '3.8']",https://corporate.publix.com/,Security Architect – Enterprise Architecture Team,"Lakeland, FL",$123K - $184K (Employer est.),"The position will provide security best practices and guidance on Network Security for Publix Super Markets, Inc. The job responsibilities for this position are:
define network security strategies and architecture including
segmentation / zero trust
firewalls
IDS/IPS
web content filtering
advanced threat protection
policy management
develop principles, best practices, standards, and guidelines for network security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846d0d6267a444403aa531168d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8554828f&cb=1668276917122&jobListingId=1008081738317&jrtk=3-0-1ghmgqokmih74801-1ghmgqolagrgj800-61d39d123d95ac87-
"['Publix', '3.8']",https://corporate.publix.com/,UX Content Designer,"Lakeland, FL",$59K - $89K (Employer est.),"Publix Super Markets tops the list of privately-owned supermarkets in the U.S. We hold no long-term debt and continue to grow year after year. Publix and our associates excel in community involvement, volunteerism and environmental sustainability. Our collective commitment to diversity has contributed to our success in being a great place to work and shop. It’s satisfying to work for — and be an owner in — a Fortune 100 company that is widely recognized as a leader in the supermarket industry.

The Corporate Communications department at Publix spearheads internal communications and press releases, publishes monthly newsletters and annual benefits notices, handles department-specific communications, and manages digital content for Publix's internally facing platforms.

Within the department, the User Experience (UX) Content Designer will deliver compelling and interactive associate experiences. The role also supports the Manager of Associate UX Content Strategy by adhering to the content strategy and developing content to smoothly guide associates toward an intended goal and facilitate the experience of using technical solutions. Ideal candidates are flexible and adaptable, take initiative, and can lead by influence. Additionally, candidates must demonstrate high customer focus and possess excellent time management skills to meet needs quickly and effectively.

What you’ll do",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0d9c2785e18275e8ef4695&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ddfc5567&cb=1668276926163&jobListingId=1008184081163&jrtk=3-0-1ghmgr733ih74801-1ghmgr73kirkn800-556a52d4407feeee-
"['Bang Energy', '2.2']",http://www.bang-energy.com/,Field Support Specialist,"Tampa, FL",$38K - $59K (Glassdoor est.),"VPX Sports/Bang Energy Performance Beverages and Sports Nutrition has been producing epic innovations for 27 years. We engage in an unrelenting pursuit to create trendsetting appearance and performance enhancing inventions. Our sports nutrition and beverage innovations are backed by 30+ double-blind placebo controlled Gold Standard University studies. Likewise, our marketing and distribution has been discussed for its excellence by such prestigious news outlets as Forbes and Wells Fargo. We are hiring super creative, ultra-positive and high-energy professionals to drive our vision to serve the entire world cutting edge health promoting beverages and nutrition! We are top sellers in iconic retailers such as 7 Eleven, Publix, Walmart, and are the #1 selling beverage of all time in the world’s largest health food retailers: GNC and Vitamin Shoppe.
Responsibilities: Field Support Specialist function is to support sales initiatives and provide route coverage for their colleagues during vacation, sick, injury or any special projects as needed Field Support Specialist will work with management to maintain customer relationships between sales, merchandising and operations for all large & small format “off premise” stores. The primary role is to effectively service all customers in a safe, productive and professional manner to VPX Sports executional standards.",2d,
"['Publix', '3.8']",https://corporate.publix.com/,Security Architect – Enterprise Architecture Team,"Lakeland, FL",$123K - $184K (Employer est.),"The position will provide security best practices and guidance for Publix Super Markets, Inc. The job responsibilities for this position are:
define the security architecture for application technologies, including:
micro-service security, API security, web application security, web services security,
non-web application security,
middleware security,
database security, data protection,
public cloud infrastructure and,
enterprise identity and access management
develop principles, best practices, standards, and guidelines for security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0e01928424f026cba60c91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fa04119a&cb=1668276955359&jobListingId=1008134137707&jrtk=3-0-1ghmgs0e6j45m801-1ghmgs0eqi150800-5f50eb1a3a0726c5-
"['Publix', '3.8']",https://corporate.publix.com/,Software Engineer – Mid Software Engineer - Remote,"Nashville, TN",$82K - $133K (Employer est.),"Publix is able to offer virtual/remote employment for this position in the state of Tennessee.

We are Publix Technology, the award-winning technical group of the largest employee-owned company in the nation, Publix Super Markets, Inc. Publix Technology associates place the highest priority on job security and customer service. This makes Publix one of the best-run, most financially secure companies in the world, as well as a leader in giving back to the communities in which we serve.

As a top grocery retail company with nearly 1,300 stores and more than 225,000 associates, you may ask: What technology-related career opportunities and benefits does Publix have to offer a technology professional such as yourself? In one word – plenty!

Publix Technology is a team of over 2,000 associates dedicated to providing the highest level of technical innovation and customer satisfaction in the industry. We offer intern, entry-level, senior and manager level positions.

No matter what your specialty or interest is in technology – security, architecture, infrastructure, integration, or programming – we have a career for you where you will be motivated, respected and challenged. It’s why we are on Fortune Magazine’s Best Companies to Work For list, as well as Best Workplaces in Retail, Best Workplaces for Women, Best Workplaces for Diversity, Best Workplaces for Millennials, and many other award lists.

Publix Technology associates enjoy the ability to own Publix stock, work-from-home potential, highly competitive pay, health insurance and other benefits. Join Publix Technology — where working is a pleasure!

Position Summary
The Software Engineer/Intermediate Software Engineer is responsible for delivering secure, compliant, and scalable technology solutions under specific guidance from architecture, technical leads, business systems analysts, and product owners. This position designs, develops, unit tests, debugs, supports, and documents technical solutions within the assigned product portfolio. Technology solutions within the product portfolio may be new, replacement of, modifications or enhancements of existing technology solutions.

Job Duties and Accountability

Technologies We Use:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846d0e34d9bf14dee8d2ac8c72&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d269738e&cb=1668276966742&jobListingId=1007998191746&jrtk=3-0-1ghmgsd8nh7i0801-1ghmgsd9gg4do800-482571a0d5d662b0-
"['Publix', '3.8']",https://corporate.publix.com/,Software Engineer – Mid Software Engineer - Remote,"Nashville, TN",$82K - $133K (Employer est.),"The position will provide security best practices and guidance for Publix Super Markets, Inc. The job responsibilities for this position are:
define the security architecture for application technologies, including:
micro-service security, API security, web application security, web services security,
non-web application security,
middleware security,
database security, data protection,
public cloud infrastructure and,
enterprise identity and access management
develop principles, best practices, standards, and guidelines for security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846d0e34d9bf14dee8d2ac8c72&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_08712769&cb=1668276969748&jobListingId=1008134137707&jrtk=3-0-1ghmgsd8nh7i0801-1ghmgsd9gg4do800-5f50eb1a3a0726c5-
"['Publix', '3.8']",https://corporate.publix.com/,Software Engineer – Mid Software Engineer - Remote,"Nashville, TN",$82K - $133K (Employer est.),"The position will provide security best practices and guidance on Network Security for Publix Super Markets, Inc. The job responsibilities for this position are:
define network security strategies and architecture including
segmentation / zero trust
firewalls
IDS/IPS
web content filtering
advanced threat protection
policy management
develop principles, best practices, standards, and guidelines for network security technologies,",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846d0e34d9bf14dee8d2ac8c72&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_09538957&cb=1668276971471&jobListingId=1008081738317&jrtk=3-0-1ghmgsd8nh7i0801-1ghmgsd9gg4do800-61d39d123d95ac87-
