Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Job Summary
The primary purpose of this role is to assist with the translation of business requirements and functional specifications into code modules and software solutions. This includes assisting with the implementation and maintenance of business software solutions to ensure successful deployment of released applications. This role participates in all software development lifecycle phases and is critical to supporting software testing activities.

Key Responsibilities:
Experience developing and debugging Android applications with Kotlin / Java
Passionate about learning, innovation, knowledge sharing, and continuous improvement






Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits. Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846afaedf1ad719cfdf07a34f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0e819d12&cb=1668242150379&jobListingId=1008184604322&jrtk=3-0-1ghlflrh9gspq801-1ghlflrhqitnc800-20b97f93cdc70f7e-
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Job Summary:
The primary purpose of this role is to translate business requirements and functional specifications into logical program designs and to deliver code modules, stable application systems, and software solutions. This includes developing, configuring, or modifying complex integrated business and/or enterprise application solutions within various computing environments. This role facilitates the implementation and maintenance of complex business and enterprise software solutions to ensure successful deployment of released applications.
Key Responsibilities:
Translates complex cross-functional business requirements and functional specifications into logical program designs, code modules, stable application systems, and software solutions; partners with Product Team to understand business needs and functional specifications




Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for Colorado, New York, and New Jersey : $70,700.00 - $170,000.00 annually

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits. Pay Range for Colorado, New York, and New Jersey : $70,700.00 - $170,000.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846afaedf1ad719cfdf07a34f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8d21f99e&cb=1668242152062&jobListingId=1007851529657&jrtk=3-0-1ghlflrh9gspq801-1ghlflrhqitnc800-1bd1ac2a4ffeeed0-
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Job Summary:
This individual should exude a confident understanding and practical approach towards problem solving in this type of environment for distributed systems and cloud architecture. Engineer will be part of Platform Core Infra team and working closely with various partners across the enterprise to identify, design and implement flexible, responsive, and secure technologies focused on IaaS and PaaS solutions. This individual will work daily with their colleagues to iteratively produce solutions in the areas of infrastructure automation which are highly available and performant and may include solutions involving network, storage, and compute. The role may be responsible for producing technical assessments to validate assumptions or establish a technical direction.

The primary purpose of this role is to serve as a Sr. developer within our Carbon GCP Platform team contributing to the design, development, and support of an enterprise wide microservices platform. This individual with work closely with both architects and engineers to design, build, and iterate on a suite of automation which is responsible for the infrastructure setup, configuration, and integrations of key cloud native technologies such as Kubernetes, Istio, Vault and Consul, Spinnaker, etc. This role assumes a high comfort level working in an iterative and fast paced agile environment. This role requires a cloud native design philosophy. Responsibilities may distribute across all major public cloud providers including Google, Azure, and AWS as well as our on-prem data centers and/or stores. The Software Engineering Consultant for Platform’s Core Infra team absolutely requires a strong passion and drive for automation, consumer experience, and improvement.








Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for Colorado, New York, and New Jersey : $70,700.00 - $170,000.00 annually

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits. Pay Range for Colorado, New York, and New Jersey : $70,700.00 - $170,000.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846afaedf1ad719cfdf07a34f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e0d9e6dc&cb=1668242154938&jobListingId=1008032322910&jrtk=3-0-1ghlflrh9gspq801-1ghlflrhqitnc800-af1f592c149acdc6-
['Tek Ninjas'],http://medninjas.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Lowe’ s
Job Title: Sr. Software Engineer – Full Stack Java
Location: REMOTE EST- 8a-5p
Contract: 1 year +
Skills Required:
Sr developer / software engineer experience Application development and maintenance
Spring Boot
Microservices",3d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846afaedf1ad719cfdf07a34f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b240ffdc&cb=1668242158921&jobListingId=1008266904454&jrtk=3-0-1ghlflrh9gspq801-1ghlflrhqitnc800-dc91160637cf5cfd-
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"What You Will Do
The primary purpose of this role is to effectively manage the flow of 160,000 imported containers from foreign factories overseas to the loading on vessels destined for North America. This leader plays an instrumental role supporting Lowe’s as the 4th largest importer in the US. This role is also responsible customs brokerage, C-TPAT, supplier enablement technology, in-transit visibility, data quality, & reporting, and Mexico cargo management operations. The position is accountable for $50M in direct annual expense and plays a significant role in our international transportation budget of $1B+ annually. The Manager, International Transportation is responsible for the management, cost effectiveness, and performance of Lowe’s global transportation operations in Asia, Europe, and the Americas. This includes responsibility for ensuring service levels agreements are met and that operational and systemic capabilities are in place to support business needs and control transportation expenses. Lead overseas international transportation operations including daily engagement with 3rd party supply chain management providers, global sourcing team, and 800+ import vendors. Hires, manages, and develops international transportation team. Effectively communicates both internally and externally to cross functional business partners regarding the state of overseas operations.


Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846afaedf1ad719cfdf07a34f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc89bd34&cb=1668242161571&jobListingId=1008145634524&jrtk=3-0-1ghlflrh9gspq801-1ghlflrhqitnc800-2b070e4d959501b7-
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Job Summary
The primary purpose of this role is to assist with the translation of business requirements and functional specifications into code modules and software solutions. This includes assisting with the implementation and maintenance of business software solutions to ensure successful deployment of released applications. This role participates in all software development lifecycle phases and is critical to supporting software testing activities.

Key Responsibilities:
Experience developing and debugging Android applications with Kotlin / Java
Passionate about learning, innovation, knowledge sharing, and continuous improvement






Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits. Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846afb4fc788ac3c0ec4ee68e2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_80c6e545&cb=1668242172665&jobListingId=1008184604322&jrtk=3-0-1ghlfmjvikuh6801-1ghlfmk02j4hn800-20b97f93cdc70f7e-
"[""Lowe's"", '3.4']",http://jobs.lowes.com/,Associate Software Engineer Android developer,"Mooresville, NC",$54K - $110K (Employer est.),"Job Summary
The primary purpose of this role is to assist with the translation of business requirements and functional specifications into code modules and software solutions. This includes assisting with the implementation and maintenance of business software solutions to ensure successful deployment of released applications. This role participates in all software development lifecycle phases and is critical to supporting software testing activities.

Key Responsibilities:
Experience developing and debugging Android applications with Kotlin / Java
Passionate about learning, innovation, knowledge sharing, and continuous improvement






Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits. Pay Range for Colorado, New York, and New Jersey : $54,000.00 - $110,000.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846afb83489ded2a0c9a92b090&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a259102&cb=1668242183929&jobListingId=1008184604322&jrtk=3-0-1ghlfn0rokcn5801-1ghlfn0sbi150800-20b97f93cdc70f7e-
"['Lowes Pro Supply', '3.4']",http://jobs.lowes.com/,Sr Technology Project Manager,Remote,$85K - $120K (Employer est.),"Sr Technology Project Manager JR-01370408
Job Summary
The primary purpose of this role is to have single-threaded ownership of delivering E-procurement and EDI implementations. This includes responsibility for developing work plans to meet Technology priorities and deadlines, determining and carrying out technical processes, coordinating resources to accomplish goals, partnering internally and externally to drive timely and effective decisions, and identifying and responding to opportunities for program process improvements. Overall, this role manages E-Procurement and EDI implementations that play an important role in moving the organization forward.
To be successful, the individual in this role must leverage a background working directly with or in the technology function, working with external customers, and apply deep expertise in IT related project/program management.",30d+,
"['Resource Plus', '3.3']",http://www.resourcep.com/,Sr Technology Project Manager,Remote,$85K - $120K (Employer est.),"A National store setup and merchandising company is looking to fill several permanent Retail Field Management positions.
Requirements of the position include:
Full-time, nationwide paid travel for multiple weeks is to be expected
Managing project and crew on overnight shift
Experience with both the fixture and merchandising aspects of store remodels and major resets in Lowes Home Improvement retailer
3-years+ of in-store, on-site project management experience preferred
Leadership skills to effectively manage larger crews
Ability to understand and execute store fixture floor plans and merchandising",3d,
"['ProVantage Corporate Solutions', '3.4']",http://www.provantage-corp.com/,Sr Technology Project Manager,Remote,$85K - $120K (Employer est.),"ProVantage Corporate Solutions, LLC is currently seeking a Project Manager to coordinate and administer the company's project teams in the field to ensure the successful delivery of each client's staffing needs. In addition to coordinating the field operation, the Project Manager will provide support for marketing, back-office operations, and employee relations. ProVantage is a national Retail Services Organization (RSO) specializing in providing retail services such as new store set-up, remodels, and/or merchandising services throughout the United States.
What We Stand For
What you do matters, experience ProVantage's employee-first culture where you are appreciated, valued, and empowered to work together for a higher purpose living out our 5 Core Company Values:
Spirit of Excellence

PRO3",24h,
